ds,predicted,lower_bound,upper_bound
2025-07-01 02:00:00,0.1597944687848789,0.1521007292559684,0.1670759906152794
2025-07-01 02:15:00,0.1598055797641545,0.152110722149852,0.1673535203647796
2025-07-01 02:30:00,0.1598174646861097,0.1525805921435034,0.1676964967702141
2025-07-01 02:45:00,0.1598311562187731,0.1521964818994671,0.1670385644546831
2025-07-01 03:00:00,0.1598476422737478,0.1519827855206267,0.1674392391928017
2025-07-01 03:15:00,0.1598677642960275,0.1520725566796598,0.1675344726792779
2025-07-01 03:30:00,0.1598921246911582,0.1522110427727485,0.1672354190514225
2025-07-01 03:45:00,0.1599210107250889,0.1528145726680822,0.1673211115890185
2025-07-01 04:00:00,0.1599543410792353,0.1530780072927023,0.1678583081200532
2025-07-01 04:15:00,0.1599916396342464,0.152649762178109,0.1674725165840305
2025-07-01 04:30:00,0.1600320391038941,0.1523769538665219,0.1679609269585308
2025-07-01 04:45:00,0.1600743149817967,0.1525322154283575,0.167322701216551
2025-07-01 05:00:00,0.1601169480522092,0.1529013778153803,0.1677738538472386
2025-07-01 05:15:00,0.1601582116064581,0.1521286294057935,0.1671762658799142
2025-07-01 05:30:00,0.1601962776505254,0.1525105426456813,0.1673000817189467
2025-07-01 05:45:00,0.1602293349199709,0.1528146496659474,0.1678239464485133
2025-07-01 06:00:00,0.1602557105411506,0.1530615593571906,0.1679923322075202
2025-07-01 06:15:00,0.160273986768846,0.1527307942136594,0.1680329707305698
2025-07-01 06:30:00,0.1602831044200282,0.1524733143145139,0.1674899178198428
2025-07-01 06:45:00,0.1602824454070222,0.1526522957085108,0.1680997643427071
2025-07-01 07:00:00,0.1602718881013819,0.1531540029125717,0.167508300672575
2025-07-01 07:15:00,0.1602518310426828,0.1527591341853392,0.1679123636979589
2025-07-01 07:30:00,0.1602231826284825,0.1525517276407756,0.1675368264410216
2025-07-01 07:45:00,0.1601873167369411,0.1531640887834762,0.1676648280598106
2025-07-01 08:00:00,0.1601459965832308,0.152746898223076,0.1683397688992762
2025-07-01 08:15:00,0.1601012713349455,0.1532119744912843,0.1675386447321224
2025-07-01 08:30:00,0.160055351955088,0.1526436170107495,0.1676281451839638
2025-07-01 08:45:00,0.1600104742647652,0.1523171215950916,0.1675058525101996
2025-07-01 09:00:00,0.1599687582180717,0.1521103750685035,0.1676961768924425
2025-07-01 09:15:00,0.1599320727792009,0.1523333072816985,0.1675213144240407
2025-07-01 09:30:00,0.1599019155568362,0.1521142926825859,0.1674011884673787
2025-07-01 09:45:00,0.1598793154918499,0.1517490092733791,0.1675013445706244
2025-07-01 10:00:00,0.1598647654645537,0.152384048798155,0.1670708819876134
2025-07-01 10:15:00,0.1598581897748353,0.1525270732435755,0.1667837118359385
2025-07-01 10:30:00,0.1598589491836177,0.1521736099864515,0.1674606710507599
2025-07-01 10:45:00,0.1598658837301271,0.1520194387384826,0.1670760449193284
2025-07-01 11:00:00,0.1598773910256646,0.1526890531980721,0.1677193936692951
2025-07-01 11:15:00,0.1598915353373797,0.1520030178368761,0.1668707970722026
2025-07-01 11:30:00,0.1599061806770968,0.1521685465312414,0.1670856360540891
2025-07-01 11:45:00,0.1599191394421969,0.1523942737430157,0.1677027175195197
2025-07-01 12:00:00,0.1599283270338223,0.1525757476438451,0.1669437397904057
2025-07-01 12:15:00,0.1599319123800665,0.1523982057286493,0.1675554405457443
2025-07-01 12:30:00,0.1599284544561395,0.152383849581868,0.1680839422573352
2025-07-01 12:45:00,0.1599170157127701,0.1516178274112578,0.1671328069854395
2025-07-01 13:00:00,0.1598972447485905,0.1529801178264536,0.166842859468029
2025-07-01 13:15:00,0.1598694224993761,0.1525218027107802,0.1678091383475853
2025-07-01 13:30:00,0.1598344685431124,0.1530081423230778,0.1673496072738631
2025-07-01 13:45:00,0.159793906681663,0.1522659096473679,0.1678918268971985
2025-07-01 14:00:00,0.1597497915894952,0.1525089663458961,0.1673630207570546
2025-07-01 14:15:00,0.1597046008447235,0.1522058595075587,0.1668112891129616
2025-07-01 14:30:00,0.1596610989117159,0.1517507672022699,0.1675813263510862
2025-07-01 14:45:00,0.1596221814765713,0.1524481260549687,0.1670897720844821
2025-07-01 15:00:00,0.159590709828933,0.152197149804543,0.1669291024912294
2025-07-01 15:15:00,0.1595693456479448,0.1514721902589171,0.1669636480186052
2025-07-01 15:30:00,0.159560396543344,0.1516822522262744,0.1672556436407152
2025-07-01 15:45:00,0.1595656820255367,0.1514231822987706,0.1674945554580416
2025-07-01 16:00:00,0.1595864282757862,0.1521126376898366,0.1671762657089653
2025-07-01 16:15:00,0.1596231982438618,0.151841889984355,0.1677830844054157
2025-07-01 16:30:00,0.1596758613399366,0.1519604666081003,0.1669451690278394
2025-07-01 16:45:00,0.159743604456737,0.1518913584548035,0.1676588399995022
2025-07-01 17:00:00,0.159824983425255,0.1518426359610193,0.1677950685812776
2025-07-01 17:15:00,0.1599180114445299,0.1521126665572483,0.167251261800315
2025-07-01 17:30:00,0.1600202787009397,0.1525739503082454,0.1676986306170161
2025-07-01 17:45:00,0.1601290954572929,0.1523134091570293,0.1675816021591626
2025-07-01 18:00:00,0.1602416494700974,0.152579424718032,0.1672731043294218
2025-07-01 18:15:00,0.1603551677756252,0.1527101371663863,0.1675311589250575
2025-07-01 18:30:00,0.160467072722816,0.1530803129467176,0.1681701797096065
2025-07-01 18:45:00,0.1605751226265976,0.1531469120801969,0.1683569376447741
2025-07-01 19:00:00,0.1606775285336328,0.1540081390309297,0.167960976510866
2025-07-01 19:15:00,0.1607730402541511,0.1534379712932221,0.1685698476937376
